Datetime,symbol_ETHBTC,symbol_order_ETHBTC,orderId,transactTime,price_order,origQty,side,
2022-09-30 21:03:29+00:00,0.06841200,ETHBTC,3256002664,1664553809264,0.06826100,0.00160000,BUY,
2022-09-30 21:19:03+00:00,0.06848900,ETHBTC,3256042419,1664554743230,0.06830300,0.00160000,BUY,
2022-09-30 21:24:22+00:00,0.06848400,ETHBTC,3256056654,1664555062430,0.06847400,0.00160000,BUY,
2022-09-30 21:25:41+00:00,0.06849200,ETHBTC,3256060564,1664555141417,0.06865600,0.00160000,SELL,
2022-09-30 21:29:26+00:00,0.06862200,ETHBTC,3256073799,1664555366050,0.06836000,0.00160000,BUY,
2022-09-30 21:33:18+00:00,0.06861200,ETHBTC,3256085480,1664555598398,0.06819700,0.00160000,BUY,
2022-09-30 21:37:07+00:00,0.06863600,ETHBTC,3256095026,1664555828019,0.06837800,0.00160000,BUY,
2022-09-30 21:39:47+00:00,0.06860600,ETHBTC,3256103811,1664555987067,0.06842000,0.00160000,BUY,
2022-09-30 21:41:09+00:00,0.06856100,ETHBTC,3256107085,1664556069992,0.06851200,0.00160000,BUY,
2022-09-30 22:29:19+00:00,0.06847400,ETHBTC,3256206313,1664558959390,0.06865800,0.00160000,SELL,
2022-09-30 22:32:09+00:00,0.06844900,ETHBTC,3256211513,1664559129156,0.06863300,0.00160000,SELL,
2022-09-30 22:39:04+00:00,0.06840400,ETHBTC,3256226270,1664559544551,0.06861600,0.00160000,SELL,
2022-09-30 22:40:29+00:00,0.06833500,ETHBTC,3256229701,1664559629508,0.06864800,0.00160000,SELL,
2022-09-30 23:05:25+00:00,0.06831200,ETHBTC,3256276585,1664561125569,0.06868500,0.00160000,SELL,
2022-09-30 23:20:43+00:00,0.06828300,ETHBTC,3256304897,1664562043349,0.06845500,0.00160000,SELL,
2022-09-30 23:42:37+00:00,0.06844800,ETHBTC,3256338472,1664563357226,0.06823700,0.00160000,BUY,
2022-09-30 23:52:43+00:00,0.06865100,ETHBTC,3256359114,1664563963244,0.06857500,0.00160000,BUY,
2022-09-30 23:58:14+00:00,0.06854900,ETHBTC,3256367561,1664564294503,0.06877800,0.00160000,SELL,
2022-10-01 00:02:28+00:00,0.06856300,ETHBTC,3256373540,1664564548989,0.06835500,0.00160000,BUY,
2022-10-01 00:03:56+00:00,0.06856900,ETHBTC,3256376213,1664564636770,0.06849400,0.00160000,BUY,
2022-10-01 00:08:12+00:00,0.06865700,ETHBTC,3256382335,1664564892740,0.06863000,0.00160000,BUY,
