Datetime,price_BTCRUB,symbol_order_BTCRUB,orderId,transactTime,price_order,origQty,side,
2022-10-07 13:26:23+00:00,1229794.00000000,BTCRUB,368966141,1665131183827,1219661.00000000,0.00011000,BUY,
2022-10-07 14:24:17+00:00,1232016.00000000,BTCRUB,368984378,1665134657344,1224873.00000000,0.00011000,BUY,
2022-10-07 18:17:32+00:00,1224590.00000000,BTCRUB,369059840,1665148652633,1223130.00000000,0.00011000,SELL,
2022-10-07 19:18:26+00:00,1221500.00000000,BTCRUB,369095946,1665152306772,1212134.00000000,0.00011000,BUY,
2022-10-07 22:12:28+00:00,1201390.00000000,BTCRUB,369167189,1665162748068,1210956.00000000,0.00011000,SELL,
2022-10-08 02:19:09+00:00,1211305.00000000,BTCRUB,369243355,1665177550154,1194817.00000000,0.00012000,BUY,
2022-10-08 09:12:03+00:00,1204264.00000000,BTCRUB,369305943,1665202324133,1211178.00000000,0.00012000,SELL,
2022-10-08 17:16:35+00:00,1212146.00000000,BTCRUB,369384894,1665231395128,1207285.00000000,0.00012000,BUY,
2022-10-09 03:11:55+00:00,1201019.00000000,BTCRUB,369509148,1665267115448,1212417.00000000,0.00012000,SELL,
2022-10-09 16:16:43+00:00,1214621.00000000,BTCRUB,369648236,1665314203919,1206960.00000000,0.00012000,BUY,
2022-10-09 17:13:23+00:00,1214093.00000000,BTCRUB,369666886,1665317604198,1215997.00000000,0.00020000,SELL,
2022-10-09 18:12:59+00:00,1213975.00000000,BTCRUB,369681251,1665321179553,1212597.00000000,0.00020000,BUY,
2022-10-09 22:16:57+00:00,1216639.00000000,BTCRUB,369719343,1665335817722,1222913.00000000,0.00020000,SELL,
